date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:26	16744/16744	---M--	200	added ('OK')	image/jpeg	etag:%225c623784a02ed21:0%22	https://www.w3schools.com/w3images/team3.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/team3.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:26	14124/14124	---M--	200	added ('OK')	image/jpeg	etag:%2293badc85a02ed21:0%22	https://www.w3schools.com/w3images/team4.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/team4.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:27	170615/170615	---M--	200	added ('OK')	image/jpeg	etag:%22a8b48880916bd41:0%22	https://www.w3schools.com/w3images/map.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3images/map.jpg	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:27	63988/63988	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:04:01%20GMT	https://www.w3schools.com/w3css/default.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/default.html	(from https://www.w3schools.com/w3css/tryw3css_templates_architect.htm)
22:44:29	80405/80405	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Jan%202020%2022:11:10%20GMT	http://snigelweb-com.videoplayerhub.com/videoloader.js	C:/Users/Oday/Desktop/jahiz2/snigelweb-com.videoplayerhub.com/videoloader.js	(from https://www.w3schools.com/w3css/default.asp)
22:44:29	912/912	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c7000f6-390-584231f68f584%22	http://static.h-bid.com/sncmp/sncmp_stub.min.js	C:/Users/Oday/Desktop/jahiz2/static.h-bid.com/sncmp/sncmp_stub.min.js	(from https://www.w3schools.com/w3css/default.asp)
22:44:29	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Oday/Desktop/jahiz2/www.google-analytics.com/analytics.js	(from https://www.w3schools.com/w3css/default.asp)
22:44:31	177/177	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2006:44:29%20GMT	http://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/images/w3schoolscom_gray.10.delayed	(from https://www.w3schools.com/w3css/default.asp)
22:44:31	1860/1860	---M--	200	added ('OK')	image/gif	etag:%2221638653cbacf1:0%22	https://www.w3schools.com/images/w3schoolscom_gray.gif	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/images/w3schoolscom_gray.gif	(from https://www.w3schools.com/w3css/default.asp)
22:44:32	160/160	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2006:44:31%20GMT	http://www.w3schools.com/lib/cmp.css	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/lib/cmp.12.delayed	(from https://www.w3schools.com/w3css/default.asp)
22:44:32	9866/9866	---M-Z	200	added ('OK')	text/css	etag:%223b67739dfdbd41:0%22	https://www.w3schools.com/lib/cmp.css	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/lib/cmp.css	(from https://www.w3schools.com/w3css/default.asp)
22:44:32	75307/75307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c680271-1262b-59c45a762fafc%22	http://static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min.js?20190327	C:/Users/Oday/Desktop/jahiz2/static.h-bid.com/w3schools.com/20190327/snhb-w3schools.com.min8a4b.js	(from https://www.w3schools.com/w3css/default.asp)
22:44:32	92683/92683	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2003:52:03%20GMT	https://www.w3schools.com/w3css/w3css_templates.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_templates.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:33	121281/121281	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:08:55%20GMT	https://www.w3schools.com/w3css/w3css_references.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_references.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:33	116149/116149	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:11:49%20GMT	https://www.w3schools.com/w3css/w3css_intro.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_intro.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:33	72760/72760	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:23:42%20GMT	https://www.w3schools.com/w3css/w3css_colors.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_colors.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:34	68668/68668	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:25:29%20GMT	https://www.w3schools.com/w3css/w3css_containers.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_containers.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:34	70110/70110	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:59:13%20GMT	https://www.w3schools.com/w3css/w3css_panels.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_panels.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:34	70415/70415	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:11:41%20GMT	https://www.w3schools.com/w3css/w3css_borders.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_borders.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:34	70026/70026	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:28:09%20GMT	https://www.w3schools.com/w3css/w3css_cards.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_cards.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:35	67668/67668	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:36:20%20GMT	https://www.w3schools.com/w3css/w3css_fonts.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_fonts.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:35	65104/65104	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:54:02%20GMT	https://www.w3schools.com/w3css/w3css_text.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_text.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:35	63944/63944	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:53:56%20GMT	https://www.w3schools.com/w3css/w3css_round.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_round.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:36	63239/63239	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:26:27%20GMT	https://www.w3schools.com/w3css/w3css_padding.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_padding.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:36	65297/65297	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:19:28%20GMT	https://www.w3schools.com/w3css/w3css_margins.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_margins.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:36	76994/76994	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:28:50%20GMT	https://www.w3schools.com/w3css/w3css_display.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_display.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:37	89175/89175	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2003:48:38%20GMT	https://www.w3schools.com/w3css/w3css_buttons.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_buttons.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:37	65635/65635	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:03:25%20GMT	https://www.w3schools.com/w3css/w3css_notes.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_notes.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:37	73776/73776	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:10:46%20GMT	https://www.w3schools.com/w3css/w3css_quotes.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_quotes.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:38	68303/68303	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:37:30%20GMT	https://www.w3schools.com/w3css/w3css_alerts.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_alerts.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:38	80653/80653	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:21:17%20GMT	https://www.w3schools.com/w3css/w3css_tables.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_tables.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:38	76850/76850	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:37:30%20GMT	https://www.w3schools.com/w3css/w3css_lists.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_lists.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:39	75874/75874	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2003:56:04%20GMT	https://www.w3schools.com/w3css/w3css_images.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_images.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:39	79501/79501	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:08:23%20GMT	https://www.w3schools.com/w3css/w3css_input.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_input.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:39	67782/67782	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:36:50%20GMT	https://www.w3schools.com/w3css/w3css_badges.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_badges.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:40	68829/68829	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:48:32%20GMT	https://www.w3schools.com/w3css/w3css_tags.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_tags.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:40	68277/68277	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:25:09%20GMT	https://www.w3schools.com/w3css/w3css_icons.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_icons.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:40	90659/90659	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:26:52%20GMT	https://www.w3schools.com/w3css/w3css_responsive.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_responsive.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:41	75743/75743	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:20:18%20GMT	https://www.w3schools.com/w3css/w3css_layout.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_layout.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:41	67878/67878	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:38:51%20GMT	https://www.w3schools.com/w3css/w3css_animate.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_animate.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:41	72238/72238	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:37:32%20GMT	https://www.w3schools.com/w3css/w3css_effects.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_effects.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:41	68906/68906	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:19:52%20GMT	https://www.w3schools.com/w3css/w3css_bars.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_bars.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:42	73110/73110	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:43:00%20GMT	https://www.w3schools.com/w3css/w3css_dropdowns.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_dropdowns.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:42	77047/77047	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:53:06%20GMT	https://www.w3schools.com/w3css/w3css_accordions.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_accordions.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:42	102891/102891	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:28:04%20GMT	https://www.w3schools.com/w3css/w3css_navigation.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_navigation.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:43	87679/87679	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:21:02%20GMT	https://www.w3schools.com/w3css/w3css_sidebar.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_sidebar.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:43	77107/77107	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:27:24%20GMT	https://www.w3schools.com/w3css/w3css_tabulators.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_tabulators.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:43	73453/73453	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:14:09%20GMT	https://www.w3schools.com/w3css/w3css_pagination.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_pagination.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:44	72688/72688	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2003:57:14%20GMT	https://www.w3schools.com/w3css/w3css_progressbar.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_progressbar.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:44	83591/83591	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:38:40%20GMT	https://www.w3schools.com/w3css/w3css_slideshow.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_slideshow.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:44	85971/85971	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:24:40%20GMT	https://www.w3schools.com/w3css/w3css_modal.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_modal.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:45	66930/66930	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:51:25%20GMT	https://www.w3schools.com/w3css/w3css_tooltips.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_tooltips.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:45	79089/79089	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:16:29%20GMT	https://www.w3schools.com/w3css/w3css_grid.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_grid.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:45	63185/63185	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:26:26%20GMT	https://www.w3schools.com/w3css/w3css_code.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_code.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:46	63308/63308	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2006:15:20%20GMT	https://www.w3schools.com/w3css/w3css_filters.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_filters.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:46	74621/74621	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:22:54%20GMT	https://www.w3schools.com/w3css/w3css_trends.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_trends.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:46	71911/71911	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:28:34%20GMT	https://www.w3schools.com/w3css/w3css_case.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_case.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:47	68213/68213	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:45:38%20GMT	https://www.w3schools.com/w3css/w3css_material.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_material.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:47	61003/61003	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:07:41%20GMT	https://www.w3schools.com/w3css/w3css_validation.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_validation.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:47	63985/63985	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:50:02%20GMT	https://www.w3schools.com/w3css/w3css_versions.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_versions.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:48	68544/68544	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:37:37%20GMT	https://www.w3schools.com/w3css/w3css_mobile.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_mobile.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:48	63850/63850	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:01:54%20GMT	https://www.w3schools.com/w3css/w3css_color_classes.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_classes.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:48	72589/72589	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:07:44%20GMT	https://www.w3schools.com/w3css/w3css_color_material.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_material.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:49	67672/67672	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2006:28:32%20GMT	https://www.w3schools.com/w3css/w3css_color_flat.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_flat.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:49	70050/70050	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2006:31:38%20GMT	https://www.w3schools.com/w3css/w3css_color_metro.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_metro.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:50	68097/68097	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:34:57%20GMT	https://www.w3schools.com/w3css/w3css_color_win8.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_win8.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:50	64524/64524	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:30:51%20GMT	https://www.w3schools.com/w3css/w3css_color_ios.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_ios.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:51	81711/81711	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:29:16%20GMT	https://www.w3schools.com/w3css/w3css_color_libraries.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_libraries.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:51	64371/64371	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:16:36%20GMT	https://www.w3schools.com/w3css/w3css_color_schemes.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_schemes.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:51	71501/71501	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:07:48%20GMT	https://www.w3schools.com/w3css/w3css_color_themes.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_themes.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:52	85728/85728	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:37:39%20GMT	https://www.w3schools.com/w3css/w3css_color_generator.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_color_generator.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:52	121050/121050	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:22:33%20GMT	https://www.w3schools.com/w3css/w3css_examples.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_examples.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:52	79279/79279	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2004:57:43%20GMT	https://www.w3schools.com/w3css/w3css_demo.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_demo.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:53	67070/67070	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:35:09%20GMT	https://www.w3schools.com/w3css/w3css_downloads.asp	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/w3css_downloads.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:53	41818/41818	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2005:43:37%20GMT	https://www.w3schools.com/w3css/tryit.asp?filename=tryw3css_default_intro	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/tryit5ae0.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:54	43264/43264	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2003:30:17%20GMT	https://www.w3schools.com/w3css/tryit.asp?filename=tryw3css_default_howto	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/tryitdb49.html	(from https://www.w3schools.com/w3css/default.asp)
22:44:54	52839/52839	---M--	200	added ('OK')	image/jpeg	etag:%226077ac438624d21:0%22	https://www.w3schools.com/w3css/img_temp_food_blog.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/img_temp_food_blog.jpg	(from https://www.w3schools.com/w3css/default.asp)
22:44:54	18507/18507	---M--	200	added ('OK')	image/jpeg	etag:%22684ab5b35f95d11:0%22	https://www.w3schools.com/w3css/img_temp_band.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/img_temp_band.jpg	(from https://www.w3schools.com/w3css/default.asp)
22:44:54	43930/43930	---M--	200	added ('OK')	image/jpeg	etag:%22fd2bfee24b34d21:0%22	https://www.w3schools.com/w3css/img_temp_cafe.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/img_temp_cafe.jpg	(from https://www.w3schools.com/w3css/default.asp)
22:44:55	37682/37682	---M--	200	added ('OK')	image/jpeg	etag:%22545da945730d21:0%22	https://www.w3schools.com/w3css/img_temp_wedding.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/img_temp_wedding.jpg	(from https://www.w3schools.com/w3css/default.asp)
22:44:55	27038/27038	---M--	200	added ('OK')	image/jpeg	etag:%229a30a87ef229d21:0%22	https://www.w3schools.com/w3css/img_temp_dark_icon.jpg	C:/Users/Oday/Desktop/jahiz2/www.w3schools.com/w3css/img_temp_dark_icon.jpg	(from https://www.w3schools.com/w3css/default.asp)
